tweet,time,score
"As you’re aware, several members of our Pivot family have been directly impacted by the Camp Fire, and several of you have asked how you can help. The quickest way is through the donation of gift... ",2018-11-16 23:59:58,
Many #PaloAlto residents are skipping their regular activities as smoky conditions caused by the #CampFire nearly 200 miles away persist on the #Peninsula.  ,2018-11-16 23:59:57,
"The smoky skies over #RioVista. Our air quality today is rated ""230--Unhealthy for Everyone"". We're 2.5 hours away from where the #CampFire occurred. ",2018-11-16 23:59:49,
"They’ve named this burning “Camp Fire.” Which hit me so hard this morning because I felt this wave of depression, and desperation; of perseverance, survival and fear, and courage, loss and win. The first thing that came to my mind was “here to stay.” Imagine",2018-11-16 23:59:49,
"This story is devastating. But a beautiful example of the power of audio: ""Families Desperately Searching For Their Loved Ones After The Camp Fire"" ",2018-11-16 23:59:42,
Northern California air quality reaches dangerous levels as smoke from Camp Fire spreads - NBC News ,2018-11-16 23:59:34,
Camp Fire update in California. AQI is 249 today. 😔 (Good AQI is 0-50) ,2018-11-16 23:59:33,0.0
Can't help but wonder whether the awful Bay Area smoke from the #CampFire is God's retribution for how aggressively we pushed the gay agenda. #tcot #ThanksObama #ReleaseTheMemo,2018-11-16 23:59:27,
Inside the meticulous work of fire investigations: 'It's not like CSI on TV' ,2018-11-16 23:59:23,
Crews search for California fire victims as list of missing grows  via @Yahoo,2018-11-16 23:59:22,
"Current situation in Nor Cal.#campfire #paradise #buttecounty#vintagewarehousevwshop #vintagewarehouse #topdownmaskup @ Santa Rosa, California ",2018-11-16 23:59:17,
"As everyone is very well aware, the city of Paradise has been decimated by the #CampFire leaving people without access to every day items such as food, water, clothing, and medicine.We are having... ",2018-11-16 23:59:17,
"Butte County Camp fire CA. 63 dead and 600+ people still missing. 10,000 homes destroyed,15,000 more threatened. Shelters themselves threatened by a norovirus outbreak. This is the type of natural disaster global warming scientists predicted.",2018-11-16 23:59:13,
"""More Southern California Fire Evacuees Return Home"" by THE ASSOCIATED PRESS via NYT ",2018-11-16 23:59:07,
View from a moving car leaving Chico.But it's impossible to escape the pain of tens of thousands of broken hearts. 💔#respectfulrevolution #campfire #paradisestrong #buttecounty #chico… ,2018-11-16 23:59:05,0.0
The Unimaginable Horror Continues – 7 More Bodies Found in ‘Camp Fire’ Bringing Total Killed to 63 – Hundreds Still Missing…  ,2018-11-16 23:59:05,
"@ThomONeil1 @CharismaMolotov @isa_m_ferreira @KeepingNanaSane @TarynStanford @CapaTosta122 @SelfImposedXile @DeadBunnyFrank @DrSCubed @shaun_pinkham @Lonestarindie @JustDuckyDuck @cindyrelish @maniscalco_carl @OdysseusAtTroy @pmm526 @mattlogical A friend of mine responded to the article by saying, ... “Yeah.  It’s absurd more psychologically interesting that there is a finite fraction of the population that is primed to want to believe this stuff.” #CampFire #ConspiracyTheory #CaliforniaFires #QAnon #DEW",2018-11-16 23:59:03,
check out Cal Fire's interactive map to track the #CampFire. ,2018-11-16 23:59:01,
"Not to mention camp fire started shortly after the democratic takeover...i'm no Shane Dawson, but something is very sketchy here y'all (read thread!) ",2018-11-16 23:58:48,
"""More Southern California Fire Evacuees Return Home"" by THE ASSOCIATED PRESS via NYT ",2018-11-16 23:58:47,
"If you've ever driven to #HighSierraMusicFestival from Bay Area, Sacramento, etc, you've driven past the absolutely beautiful area that has has been devastated by the #CampFire. Please consider donating to the Red Cross to help the residents of this area. ",2018-11-16 23:58:43,
Check out these pictures of the wildfire spreading across the state of California.  #mcj10211/16,2018-11-16 23:58:43,
".@tejalrao &amp; @JillCowan of @nytimes: #Volunteers feed fire evacuees, emergency workers in Chico #CampFire ",2018-11-16 23:58:32,
"It’s Friday, so remember to #FF these phenomenal LA news tweeps who kept me &amp; @greencalB very informed during the #WoolseyFire evacuation:  @Patharveynews @CBSLAsandra @GregMillsTVNews @CBSLAPeter @suzmarques @fajardonews &amp; of course, @GaryandShannon TY all! ❤️🙏❤️",2018-11-16 23:58:28,1.0
"Kamala Harris sent email to raise money for California fire victims, but left out one little detail  via @theblaze",2018-11-16 23:58:24,
"@KGBr67 hash tagging ""camp fire"" while denying that the climate is changing .... ok.....you are losing that battle though. its too obvious nowwe the people, demand to heal our damaged environment and ecosystems.",2018-11-16 23:58:22,
Camp Fire smoke closes UC-Berkeley and other Bay Area colleges ,2018-11-16 23:58:17,
"For the latest news on all aspects of the #CampFire, tune in to 91.7FM or listen online at  ",2018-11-16 23:58:17,
Just replaced this filter a blink of an eye ago.  At least we know it works. #smoke #Hazardous #sparetheair #CampFire #BatArea ,2018-11-16 23:58:12,
"Good evening @DollyParton,  my hometown of Paradise, Ca as well as some smaller neighboring communities were destroyed last week from a wildfire. I’m reaching out to ask if you would be willing to gift the children affected by the #campfire books from your Imagination Library? ❤️",2018-11-16 23:58:07,1.0
"@TheDweck Survivors of the Camp Fire would love to give @realDonaldTrump some feedback regarding comments in which he blamed state officials for ""forest mismanagement,"" especially considering that there is no state-owned forest land between Pulga (where the fire started) and Paradise.",2018-11-16 23:58:06,
"Brown, Newsom to Join Trump on Camp Fire Visit ",2018-11-16 23:58:06,
Camp Fire smoke closes UC-Berkeley and other Bay Area colleges ,2018-11-16 23:58:05,
So good to chat - prayers for all impacted by the #WoolseyFire Glad you are safe D 🙏🏼 ,2018-11-16 23:58:03,
Never have I seen it this bad Here are resources for California fire victims and the best ways to contribute ,2018-11-16 23:57:59,
#CampFire: Significant rain and snow are forecast to begin as early as November 22. @CAWaterAlliance ,2018-11-16 23:57:55,
Camp Fire smoke closes UC-Berkeley and other Bay Area colleges ,2018-11-16 23:57:46,
"""More Southern California Fire Evacuees Return Home"" by THE ASSOCIATED PRESS via NYT ",2018-11-16 23:57:37,
"If you live in California, an N95 face mask is the must have accessory of the Fall fashion season. Simply everyone who is anyone is wearing one. Get yours today! #CampFire #CampFireSmoke #AirQuality #AirQualitySanFrancisco ",2018-11-16 23:57:32,
10 yr old bourbon and a camp fire a beautiful night deep in the heart ,2018-11-16 23:57:28,
"After a week of battling the latest #CaliforniaWildfires, a special thank you is needed to the hundreds of firefighters risking their lives at the #CampFire and #WoolseyFire. We admire your courage and service. ❤️ ",2018-11-16 23:56:54,1.0
So my school was closed early due to the air quality moving to the hazardous zone 😷😷😷 #campfire,2018-11-16 23:56:49,0.0
"#AQI is crazy high in #SiliconValley. Can we get out of town to a healthy place, one that won’t have smoke or smog?Like #Beijing or #LA?#CampFire ",2018-11-16 23:56:40,
I was conflicted during the game last night as I love the Pack but my cousin works for the Seahawks org.  Was thrilled to see Rodgers representing for Butte and bringing national awareness to their struggle.  #CampFire #ButteStrong ,2018-11-16 23:56:39,
An #update on the deadliest  #CaliforniaWildfires in state history. #campfire #wildfires #WoolseyFire #LosAngeles #NorCal #AirQuality ,2018-11-16 23:56:23,
@RighteousBabe4 I think we should drop donald in the Camp fire with a rake and let him start raking to *fix* things. Watta stupid mf,2018-11-16 23:56:18,
Join #DubNation in supporting #CampFire relief efforts! ,2018-11-16 23:56:15,
"As San Francisco suffers bad air days due to Camp fire, air monitors for inside and outside are all the rage ",2018-11-16 23:56:10,
"@LRAraiza @BillyBakes724 @tamalha @britneychienne @realDonaldTrump You refer to the Cedar Fire, 15 lives incl. 1 firefighter. The current fires; Woolsey Fire (3 lives, 616 structures) &amp; Camp Fire (63 lives, 11,862 structures) is NOT political or partisan. Its PEOPLE. Hold those responsible Dem or Rep, mitigate this from happening again. PERIOD.",2018-11-16 23:56:09,
"The Camp Fire, located in Northern California, is the state’s most destructive fires to-date. ",2018-11-16 23:56:00,
631 people are listed as missing from the Camp Fire by Butte County  ,2018-11-16 23:56:00,
Sacramento smothered in smoke as air quality reaches 'hazardous' levels ,2018-11-16 23:55:56,
California throws lifeline to PG&amp;E over potential Camp Fire liability  via @cbsmoneywatch,2018-11-16 23:55:54,
Experts fear some Camp Fire victims will never be identified ,2018-11-16 23:55:47,
How to help survivors of the California fires: via @refinery29 #WoolseyFire #CampFire #HillFire #MalibuFire,2018-11-16 23:55:31,
President Trump will visit Victims of California fire....Where's Moonbeam? ,2018-11-16 23:55:23,
"#CampFire causes new danger, as air quality ranks among worst in the world  ",2018-11-16 23:55:17,
"California Fire Hits ‘Rehab Riviera,’ Putting Addiction Care in Jeopardy  ",2018-11-16 23:55:17,
There isn’t any respirators in any store and amazon earliest arrival is the 29th. So people in the bay just suppose to die out here with this air? #campfire #AirQuality #SanJose #thebay,2018-11-16 23:55:17,
Utility Company That May Be On The Hook For Camp Fire: Cost of Damages Exceeds Our Insurance Coverage ,2018-11-16 23:55:14,
A camp fire did all of that?! Wow!!! ,2018-11-16 23:55:13,
Northern California air quality reaches dangerous levels as smoke from Camp Fire spreads - NBC News ,2018-11-16 23:55:06,
"........the tweetrFUHRER is bringing 500 rakes, paper towels and autographed nude melania photos to the California fire fighters......",2018-11-16 23:55:05,
"Via @LATimes✔️ For California fire victims, it will be a long, tough road to rebuild ",2018-11-16 23:55:05,
California: Camp fire death toll rises to 63 with more than 600 still missing ,2018-11-16 23:55:04,
"North of the #Campfire just outside of Paradise, CA, looking west 🔥📷 ",2018-11-16 23:55:01,1.0
‘I’m not going back’: Calif. deputies kill wanted felon amid Camp Fire cleanup ,2018-11-16 23:54:57,
"CALIFORNIA FIRE APOCALYPSE PSYOP: Memes, Mind Control and Mass Manipulation ",2018-11-16 23:54:48,
"We're being sold nostalgia at the box office when in reality our society is crumbling, resources being depleted and we're not changing our behavior to curb climate change.We've collectively chosen to be snapped back to reality. This is a small starting sample. #campfire",2018-11-16 23:54:43,
There is going to be a taco feed at the Municipal Auditorium  in Oroville at 5:30 PM TODAY 11/16/18 Anyone Affected by the #CampFire SHOW UP!!!! &amp; EAT,2018-11-16 23:54:42,
"Please help my Mom y’all, anything helps #WoolseyFire #MalibuStrong ",2018-11-16 23:54:38,
Northern California air quality reaches dangerous levels as smoke from Camp Fire spreads - NBC NewsCC: @ksenias7&amp;It’s not the Last Year. ,2018-11-16 23:54:34,
"Inside the Camp Fire perimeter, these residents faced the inferno. Now, they're staying put. ",2018-11-16 23:54:34,
"Seriously, even if you live hours away from the fires in CA, check your local air quality multiple times a day! There's lots of apps and websites that make it super easy to understand. I use the app ""Air Visual"" #CampFire #HillFire #WoolseyFire ",2018-11-16 23:54:29,
This is Paramount Ranch’s Western Town after the #WoolseyFire. ,2018-11-16 23:54:15,
When Post-Disaster Donations Overwhelm.  #campfire  ,2018-11-16 23:54:15,
#WWG1WGA #Qanon #snowday #boxing #CampFire  The leaders of California are sick that they would sacrifice their citizens lives and beautiful countryside to cover their corruption! #CampFireSmoke #California ,2018-11-16 23:54:05,
More than 200 people still missing from Camp Fire in Northern California  ,2018-11-16 23:53:58,
"@PrincessBravato @NicolleDWallace Please think how you'd feel if you lost everything...suddenly you only have the clothes on your back &amp; your pet dog. That's the situation of my VETERAN friend who lived in Paradise, CA. I beg you to consider giving, even a little &amp; retweet. Thank you!",2018-11-16 23:53:55,
Please share!! The kids of #buttecounty need help due to the #campfire! Tens of thousands of kids cannot return to school until we get 100 portable classrooms and funds to clean up our campuses from the toxic smoke &amp; ash. Please help!!!#paradiseca #chicoca #Help #ButteStrong ,2018-11-16 23:53:53,
Babies rescued from #CampFire need to connect with their families. Please retweet. ,2018-11-16 23:53:47,
😱🙏🏻😢💔 631 people are listed as missing from the Camp Fire by Butte County  ,2018-11-16 23:53:42,0.0
Haven't seen James Woods today. Probably resting after working so hard to help the California fire victims. A Hero in my book. Good Bless you Sir.,2018-11-16 23:53:40,
