tweet,time
"Deep Thoughts. (Just kidding). More smug, incomprehensible hyperbole. Residents disappointed in no offering of paper towels. Not even water balloons or rakes. Just the place smelling a lot worse than it did.#CampFire #Paradise #Chico #Trump #JerryBrown #CaliforniaWildFires ",2018-11-17 23:59:58
'He can kiss my red ass': California fire evacuees give Trump visit short shrift ,2018-11-17 23:59:56
Join us after the game on @abc7newsbayarea for more on President @realDonaldTrump’s visit to the #CampFire disaster zone. Trump got mix reaction from crowds who lined the street to watch his motorcade in #Chico. ,2018-11-17 23:59:56
"The one saving grace of natural disaster is that it often brings out the very best in people, and pets alike. Perhaps, there is hope after all for the befouled species that we refer to as humans.. ",2018-11-17 23:59:49
"@BetteMidler @rRealNeilNash Neil Young has lost his house to 'another' California fire yet ""Firefighters have never seen anything like this in their lives"". So this HAS been seen before. Then we are talking onlly quantum. And yes, this needs better forest management, loath tho I am to agree with Trump.",2018-11-17 23:59:48
'Very sad to see': Trump visits Paradise lost by California fire ,2018-11-17 23:59:45
@AynRandPaulRyan Someone show Trump a map of where Finland is!!!   Not exactly California weather or conditions.#RakeAmericaGreatAgain  #RakeTheForest  #wildfires  #CampFire,2018-11-17 23:59:31
"@TheAtlantic @amandamull I had exclusive access to reveal, for the first time, the horrific damage done to hundreds of homes in Malibu as a result of the #WoolseyFire. See the entire story @  ",2018-11-17 23:59:26
"A very well-done diary of one person's experiences from her viewpoint as a Paradise resident, w/photos. When Guy Fieri shows up, you know the disaster is serious - my life in the Camp Fire ",2018-11-17 23:59:14
"How Californians are breathing in the ""new abnormal"" of epic fires ",2018-11-17 23:59:05
"My daughter lost her home from the paradise camp fire, we’d appreciate it if you can donate anything, thank you 😊🙏🏻 ",2018-11-17 23:58:56
Camp Fire Survivors Are Now Refugees In Their Own Country-This hurts That’s it’s happening. It’s so heartbreaking  ,2018-11-17 23:58:46
#GOP overt prejudice against the people of California:#CampFire #ParadiseFire #WoolseyFire @realDonaldTrump #climatechange#VoteBlue2020 to limit petty #CorruptGOP power plays.,2018-11-17 23:58:40
"Dear Mr. @niinisto, @realDonaldTrump says you told him you sweep the ""floors"" of your forests in Finland to keep them from burning down. Is that true? Asking for Americas who think he's a liar and a moron. #CampFire",2018-11-17 23:58:37
Any local brewers want to jump in on this? #CampFire #RidgeStrong #Resilience ,2018-11-17 23:58:35
Dog found 'protecting the only house left on the block' after Camp Fire in Paradise  via @usatoday,2018-11-17 23:58:33
Camp Fire Survivors Are Now Refugees In Their Own Country ,2018-11-17 23:58:30
"@cathyforbes71 Cathy, We want to ensure that everyone impacted by the Camp Fire has the services &amp; care they need during these trying times. We encourage everyone to cooperate with the County and other local organizations to transition to dedicated shelters where those resources are available.",2018-11-17 23:58:28
#campfire #NotmyPotus Sadly the photo does not include the C-130s carrying the Rakes to be given to those devastated by tragedy that now need to go out and rake the forest. Thank You Potus for not saying one word of Condolence to those Deceased and Missing. ,2018-11-17 23:58:25
"#CampFireJamesWoods #CampFire #CampFirePets #Paradise #ParadiseFires  #CaliforniaFires #CaliforniaWildFires #CAFires #ButteCounty #ButteCountyFire #ButteCountyStrong #Chico #SoCalFiresJamesWoods Remember, your pet may look totally different due to the fire.Take time-Look Close!",2018-11-17 23:58:22
"Evacuees from #CampFire built a community in Chico #Walmart parking lot. Officials are nudging them out to real shelters by tomorrow though, and toilets, food trucks and other services will be gone. ",2018-11-17 23:58:13
Surviving the Camp Fire was hard enough. Now these animals have to find their humans. ,2018-11-17 23:58:06
Cat reunion after California fire:  via @HuffPostGreen,2018-11-17 23:58:06
These 29 unclaimed animals were rescued from the Camp Fire and brought to UC Davis for veterinary care.  Link in the article for claiming a pet from them.  #CaliforniaWildfires #CaliforniaFiresPlease retweet.  Thanks.,2018-11-17 23:58:01
"Trump denies climate change role in Camp Fire, suggests raking leaves is bigger problem  ",2018-11-17 23:57:40
"PG&amp;E recorded “an incident early Thurs on a major electrical transmission line.. just minutes before the reported start of the Camp Fire.”Hours before the fire, PG&amp;E announced it would cancel a service suspension to some households as an anti-fire measure",2018-11-17 23:57:30
1000 #PeopleMissing amidst #California’s “#CampFire” #CampFireJamesWoods  #news,2018-11-17 23:57:27
"In his talk of raking and Finland, he hadn’t mentioned the 71 victims of the #CampFire. Not. One. Time. He’s not going to meet with survivors. Are you kidding me? #MAGA #KAG",2018-11-17 23:57:23
Surviving the Camp Fire was hard enough. Now these animals have to find their humans. ,2018-11-17 23:57:22
@RedCross Please donate here for #CampFire Red cross is Amazing my car burnt down in Sept. And they instantly helped me out cs u know am homeless. Way better than FEMA. they are currupt. #Haiti 💘,2018-11-17 23:57:20
If anyone had their #horses evac'd who ended up a long ways away but think theres no other option?   Yes there is...this place!  It's about an hour from Butte &amp; these guys are great.  They've got room &amp; transport if needed!#paradisefire #CampFire #CampFirePets #Stirling ,2018-11-17 23:57:04
"“No, no I have a strong opinion. I want a great climate. We’re going to have that, and we are going to have that are very safe because we can’t go through this."" - DJT on Camp Fire😠The climate is not going to be great. I am sad our children will inherit this.",2018-11-17 23:57:01
"@ProudResister @realDonaldTrump When asked about the president’s visit to the area, Kirk Ellsworth, whose adult children lost their homes in the fire, shook his head in disgust.“My kids lost everything. I voted for him – and now? He can kiss my red ass,” ",2018-11-17 23:56:58
"IMMIGRANT PICK-UP LINEUh,Is That A Rake In Your PantsOrAre You From Finland ?#Trump #Inners#WoolseyFire #ParadiseFire #CampFirePets",2018-11-17 23:56:58
President Trump In Southern California; Touring Woolsey Fire Zone #woolseyfire @countyventur #805strong ,2018-11-17 23:56:51
Camp Fire/Help my sister &amp; family ,2018-11-17 23:56:47
'It's like total devastation': Trump visits Paradise lost by California fire (USA TODAY) ,2018-11-17 23:56:32
@MCITLFrAphorism Sad.  We've reach our milestone in a way also.  : (,2018-11-17 23:56:25
