tweet,time,score,human_score
"[#pixnow, :, this, just, in, -, a, #norovirus, outbreak, is, sweeping, through, a, #campfire, evacuation, center]",2018-11-14 23:59:58,,0.0
"[modis, image, shows, extensive, smoke, over, #norcal, from, the, #campfire, ., air, quality, this, afternoon, is, in, the, unhealthy, to, very, unhealthy, categories, for, many, locations, ., spare, the, air, alert, continues, ., #bayarea, #cawx, #cafire]",2018-11-14 23:59:55,,0.0
"[updated, :, who, are, the, camp, fire, missing, ?, death, toll, increases, again, as, answers, come, slowly, about, the, 100, people, reported, to, sheriff's, office]",2018-11-14 23:59:53,,0.0
"[fema, has, shared, that, individuals, and, business, owners, who, sustained, losses, due, to, the, #woolseyfire, can, begin, applying, for, assistance, by, registering, online, at, or, by, calling, 1-800-621- 3362, this, includes, those, affected, in, #calabasas]",2018-11-14 23:59:50,,1.0
"[how, you, can, help, victims, of, the, camp, fire]",2018-11-14 23:59:41,,1.0
"[we're, on, the, edge, of, a, humanitarian, crisis, in, the, aftermath, of, the, #campfire, .]",2018-11-14 23:59:24,,0.0
"[my, colleague, ,, ,, on, how, collaborative, solutions, -, not, myths, -, will, help, protect, lives, and, properties, :]",2018-11-14 23:59:22,,1.0
"[it's, called, #campfire, because, of, the, street, the, fire, started, on, ., high, winds, and, a, downed, power, pole, caused, the, fire]",2018-11-14 23:59:15,,0.0
"[[, ?, ], [, ?, ], tree, crew, working, on, sr, 70, today, in, eastern, butte, county, ,, removing, hazard, trees, from, the, #campfire, [, ?, ], [, ?, ]]",2018-11-14 23:59:13,,1.0
"[still, missing, owner, still, looking, #campfire]",2018-11-14 23:59:12,,0.0
"[where, is, the, [, ?, ], [, ?, ], ?, ?, they, love, to, raise, money--isn't, it, time, they, spent, some, ?, ?, ?, #campfireparadise, #campfire, #campfiresurvivorsrefugee, camps, for, fire, survivors, :, california, town, ', on, the, edge, ', of, humanitarian, crisis, -, the, sacramento, bee]",2018-11-14 23:59:06,,0.0
"[#insurance, commissioner, _davejones, going, live, with, to, discuss, his, actions, to, help, #california, #wildfire, survivors, ., tune, in, at, 4pm, !, #campfire, #woolseyfire, #hillfire, more, info, at]",2018-11-14 23:59:06,,1.0
"[la, news, how, to, help, southern, california, fire, victims]",2018-11-14 23:59:05,,1.0
"[offshore, winds, sent, the, levels, of, unhealthy, air, blanketed, over, the, bay, area, from, the, camp, fire, soaring, over, 200, aqi, readings, in, many, cities, wednesday, afternoon, .]",2018-11-14 23:59:02,,0.0
"[legacy, ?, #woolseyfire, 51, dead, and, counting, ., #forestmanagement]",2018-11-14 23:59:01,,0.0
"[yesterday, was, a, rough, day, ., shock, is, wearing, off, &, amp, ;, reality, is, setting, in, ., my, mind, &, amp, ;, heart, are, tired, ., i, love, you, butte, county, ., stay, strong, ., [, yellow, heart, ], #campfire]",2018-11-14 23:58:56,1.0,1.0
